Model Name,Precision,Recall,F1-Score,mAP50,mAP50-95
yolov9_raw,85.15 ± 0.72,86.77 ± 0.57,85.95 ± 0.44,83.76 ± 0.28,61.16 ± 0.35
yolov9_zerodce,80.57 ± 0.41,90.36 ± 0.48,85.18 ± 0.52,86.00 ± 0.21,62.43 ± 0.32
yolov9_zdce_sai,91.34 ± 0.54,87.15 ± 0.88,89.20 ± 0.45,87.50 ± 0.31,65.60 ± 0.35
yolov9_full,91.36 ± 0.51,90.71 ± 0.57,91.03 ± 0.54,88.87 ± 0.29,68.14 ± 0.61
yolov10_raw,90.23 ± 0.77,88.88 ± 0.45,89.55 ± 0.72,89.01 ± 0.27,68.00 ± 0.70
yolov10_zerodce,80.47 ± 0.74,83.09 ± 0.45,81.76 ± 0.58,77.99 ± 0.53,61.07 ± 0.51
yolov10_zdce_sai,70.92 ± 0.85,81.04 ± 0.82,75.64 ± 0.59,77.28 ± 0.51,59.44 ± 0.33
yolov10_full,79.06 ± 0.44,91.01 ± 0.70,84.62 ± 0.50,88.41 ± 0.31,65.18 ± 0.49
yolo11_raw,80.52 ± 0.61,84.30 ± 0.80,82.37 ± 0.53,83.55 ± 0.43,64.24 ± 0.80
yolo11_zerodce,89.98 ± 0.41,88.57 ± 0.76,89.27 ± 0.87,90.60 ± 0.34,68.73 ± 0.56
yolo11_zdce_sai,83.81 ± 0.51,87.05 ± 0.67,85.40 ± 0.72,82.74 ± 0.52,60.65 ± 0.79
yolo11_full,73.35 ± 0.65,87.96 ± 0.89,79.99 ± 0.70,81.56 ± 0.36,58.62 ± 0.73
yolo12_raw,80.29 ± 0.41,92.23 ± 0.59,85.85 ± 0.49,87.76 ± 0.29,65.78 ± 0.31
yolo12_zerodce,92.20 ± 0.50,92.84 ± 0.68,92.52 ± 0.76,93.08 ± 0.29,69.02 ± 0.66
yolo12_sai,93.84 ± 0.72,89.49 ± 0.81,91.61 ± 0.48,91.55 ± 0.40,67.98 ± 0.64
yolo12_dwt,82.34 ± 0.67,87.05 ± 0.71,84.63 ± 0.59,86.55 ± 0.29,65.48 ± 0.57
yolo12_zdce_sai,97.20 ± 0.51,91.32 ± 0.83,94.17 ± 0.89,90.47 ± 0.40,71.18 ± 0.43
yolo12_zdce_dwt,80.97 ± 0.69,90.71 ± 0.69,85.56 ± 0.72,87.16 ± 0.51,62.30 ± 0.62
yolo12_sai_dwt,89.06 ± 0.80,89.49 ± 0.75,89.27 ± 0.68,88.62 ± 0.34,67.88 ± 0.36
yolo12_full,83.97 ± 0.40,88.88 ± 0.42,86.36 ± 0.74,86.49 ± 0.28,65.84 ± 0.52
p2_yolo12_raw,94.50 ± 0.80,91.20 ± 0.51,92.82 ± 0.82,95.15 ± 0.55,70.40 ± 0.53
p2_yolo12_full,95.80 ± 0.75,93.15 ± 0.54,94.46 ± 0.79,97.25 ± 0.38,71.85 ± 0.78
